Date,Close,Volume,Symbol,2-Day Moving Average,2-Day VWAP
2022-01-03,334.75,28865100,MSFT,334.75,334.75
2022-01-04,329.01001,32674300,MSFT,331.880005,331.70235645363783
2022-01-05,316.380005,40054300,MSFT,322.6950075,322.0542043159706
2022-01-06,313.880005,39646100,MSFT,315.130005,315.1364071008677
2022-01-07,314.040009,32720000,MSFT,313.960007,313.9523500742819
2022-01-10,314.269989,44289500,MSFT,314.15499900000003,314.17227448945255
2022-01-11,314.980011,29386800,MSFT,314.625,314.5531909863863
2022-01-12,318.269989,34372200,MSFT,316.625,316.7536238517008
2022-01-13,304.799988,45366000,MSFT,311.5349885,310.6064091177603
2022-01-14,310.200012,39846400,MSFT,307.5,307.325107774981
2022-01-18,302.649994,42333200,MSFT,306.425003,306.31076914657154
2022-01-03,182.009995,104487900,AAPL,242.3299945,216.79434960343775
2022-01-04,179.699997,99310400,AAPL,180.85499599999997,180.88433877333273
2022-01-05,174.919998,94537600,AAPL,177.30999749999995,177.3688425209112
2022-01-06,172.0,96904000,AAPL,173.45999899999995,173.44195202570808
2022-01-07,172.169998,86709100,AAPL,172.08499899999998,172.08027953115433
2022-01-10,172.190002,106765600,AAPL,172.17999999999995,172.18103685449825
2022-01-11,175.080002,76138300,AAPL,173.635002,173.39303641862085
2022-01-12,175.529999,74805200,AAPL,175.30500049999998,175.30301336242624
2022-01-13,172.190002,84505800,AAPL,173.86000049999996,173.75831268529095
2022-01-14,173.070007,80440800,AAPL,172.63000449999998,172.6191609290351
2022-01-18,169.800003,90956700,AAPL,171.43500499999996,171.33469129920616
2022-01-03,136.03999299999998,4605900,IBM,152.91999799999996,168.1728472920242
2022-01-04,138.020004,7300000,IBM,137.02999849999995,137.2540196842482
2022-01-05,138.220001,8956900,IBM,138.12000249999994,138.1301943271405
2022-01-06,135.339996,9908100,IBM,136.77999849999998,136.70739153588607
2022-01-07,134.830002,5238100,IBM,135.08499899999998,135.16362175620228
2022-01-10,135.029999,5432800,IBM,134.93000049999995,134.93182506099677
2022-01-11,132.869995,11105300,IBM,133.94999699999994,133.57956077425402
2022-01-12,133.589996,5352000,IBM,133.22999549999997,133.1041430894187
2022-01-13,134.759995,4868300,IBM,134.17499549999997,134.1473090076114
2022-01-14,134.21000700000002,5310300,IBM,134.48500099999995,134.47305953968038
2022-01-18,132.940002,5246700,IBM,133.57500449999995,133.57883003367346
