Date,Close,Volume,Symbol
2022-01-03,334.75,28865100,MSFT
2022-01-04,329.01001,32674300,MSFT
2022-01-05,316.380005,40054300,MSFT
2022-01-06,313.880005,39646100,MSFT
2022-01-07,314.040009,32720000,MSFT
2022-01-10,314.269989,44289500,MSFT
2022-01-11,314.980011,29386800,MSFT
2022-01-12,318.269989,34372200,MSFT
2022-01-13,304.799988,45366000,MSFT
2022-01-14,310.200012,39846400,MSFT
2022-01-18,302.649994,42333200,MSFT
2022-01-03,182.009995,104487900,AAPL
2022-01-04,179.699997,99310400,AAPL
2022-01-05,174.919998,94537600,AAPL
2022-01-06,172.0,96904000,AAPL
2022-01-07,172.169998,86709100,AAPL
2022-01-10,172.190002,106765600,AAPL
2022-01-11,175.080002,76138300,AAPL
2022-01-12,175.529999,74805200,AAPL
2022-01-13,172.190002,84505800,AAPL
2022-01-14,173.070007,80440800,AAPL
2022-01-18,169.800003,90956700,AAPL
2022-01-03,136.03999299999998,4605900,IBM
2022-01-04,138.020004,7300000,IBM
2022-01-05,138.220001,8956900,IBM
2022-01-06,135.33999599999999,9908100,IBM
2022-01-07,134.830002,5238100,IBM
2022-01-10,135.029999,5432800,IBM
2022-01-11,132.869995,11105300,IBM
2022-01-12,133.58999599999999,5352000,IBM
2022-01-13,134.759995,4868300,IBM
2022-01-14,134.21000700000002,5310300,IBM
2022-01-18,132.940002,5246700,IBM
